Random nucleotide length,Mean score,Median score,Standard deviation,Ninety fifth percentile
400,6.56,6.5,1.1816936997377958,8.799999999999997
425,6.57,6.25,1.023523326553919,8.0
450,6.17,6.0,0.7236021006050217,7.399999999999999
475,6.46,6.0,1.1590513362228612,8.399999999999999
500,6.71,6.5,1.1416654501210064,8.799999999999997
525,6.75,7.0,0.9874208829065749,8.399999999999999
550,6.46,6.25,1.0669582934679311,8.099999999999998
575,6.57,6.0,0.8761278445523805,8.0
600,6.79,6.5,1.0786102168995062,8.799999999999997
625,6.7,6.5,1.004987562112089,8.5
650,6.77,7.0,0.6961321713582844,7.5
675,6.81,6.25,1.3101144988129854,8.2
700,7.02,7.0,0.7743384273042375,8.399999999999999
725,6.78,7.0,0.8195120499419152,8.2
750,6.73,6.5,0.9821405194777374,8.45
775,6.76,7.0,0.7952358140828417,8.0
800,6.98,7.0,0.9972963451251589,8.899999999999999
825,6.92,7.0,1.0017983829094554,8.849999999999998
850,7.01,7.0,1.0570714261581382,8.899999999999999
875,6.67,6.5,0.8146164741766521,7.849999999999998
900,6.9,6.5,0.7968688725254615,8.25
925,6.81,7.0,0.772269383052313,8.2
950,6.73,6.5,0.663023378170031,7.899999999999999
975,7.17,7.0,1.0017983829094554,8.45
1000,7.1,7.0,0.7713624310270756,8.799999999999997
1025,6.94,7.0,0.6643794096749236,8.0
1050,7.3,7.0,1.5524174696260025,10.249999999999996
1075,6.71,7.0,0.8386894538504702,8.0
1100,7.44,7.5,0.5842944463196617,8.2
1125,7.04,7.0,1.011632344283238,8.799999999999997
1150,7.01,7.0,0.7952358140828417,8.25
1175,7.14,7.0,0.8834025130143109,8.45
1200,7.21,7.0,0.8052328855678959,8.25
1225,7.05,7.0,0.806225774829855,8.399999999999999
1250,7.45,7.25,1.1090536506409416,9.0
1275,7.35,7.0,1.1335784048754634,8.849999999999998
1300,7.2,7.0,0.9460443964212251,8.899999999999999
1325,7.22,7.0,0.9119210492142399,8.5
1350,7.4,7.0,0.8916277250063505,9.0
1375,7.35,7.0,0.9669539802906858,9.2
1400,7.63,7.5,1.1469960767151735,9.799999999999997
1425,7.44,7.25,0.7009992867328754,8.45
1450,7.26,7.0,0.729657453878188,8.45
1475,7.43,7.25,1.0897706180660223,9.799999999999997
1500,7.31,7.0,0.7914543574963752,8.45
1525,7.41,7.0,1.0532805893967665,9.799999999999997
1550,7.38,7.0,0.8806815542521599,8.5
1575,7.12,7.0,0.9168424073961675,8.799999999999997
1600,7.22,7.0,1.0961751684835777,9.0
1625,7.55,7.25,1.1,9.849999999999998
1650,7.5,7.25,0.8774964387392122,9.0
1675,7.41,7.5,0.9457272334029511,8.849999999999998
1700,7.58,7.25,1.1196428001822725,9.849999999999998
1725,7.38,7.25,1.0077698149875296,8.899999999999999
1750,7.5,7.25,0.8631338250816034,9.2
1775,7.28,7.25,0.7691553809211764,8.399999999999999
1800,7.37,7.0,0.8488816171881683,8.899999999999999
1825,7.66,7.25,0.976933979345585,9.2
1850,7.26,7.0,0.7952358140828417,8.5
1875,7.38,7.5,0.8778382538941898,8.45
1900,7.58,8.0,0.6881860213634101,8.25
